Matched_RM,Precipitation,Mean_Yield,Standard_Deviation,TOPSIS_Score,Rank
PINEY,85.78021978021978,83.38017905475743,50.49918853872133,0.9401391956449392,1.0
EMERSON-FRANKLIN,64.0,91.98601006020769,36.154726191513944,0.7243026695157369,2.0
SPRINGFIELD,52.03260869565217,95.5429928588192,43.369327963614715,0.7190059999766499,3.0
BIFROST-RIVERTON,60.32575757575758,75.34543263014254,34.59909625205292,0.6660225179471974,4.0
ST. ANDREWS,45.59016393442623,89.61528572414248,38.34444199258638,0.6409548538812992,5.0
ARMSTRONG,39.19230769230769,76.93152088258472,43.319512268265996,0.6271845089391654,6.0
BROKENHEAD,54.293103448275865,85.06777412829108,30.977176783393983,0.6126136327200369,7.0
MCCREARY,39.80434782608695,76.10898491635962,37.40089110177409,0.586006438813759,8.0
GLENBORO-SOUTH CYPRESS,34.48148148148148,73.55979156944913,40.646935246274026,0.5818803437407952,9.0
RHINELAND,38.36923076923077,76.00303143265802,36.5879734491127,0.5721951631486771,10.0
NORFOLK-TREHERNE,34.36538461538461,74.96090851412912,36.722740685800495,0.5533307912936821,11.0
PORTAGE LA PRAIRIE,25.948275862068964,86.63895515117036,38.36089234636177,0.5458008007389177,12.0
NORTH CYPRESS-LANGFORD,27.161073825503355,85.38949535344226,36.44756039072314,0.5351994353839786,13.0
STE. ROSE,45.79166666666666,79.12907758688065,27.357104024076826,0.5252222177040821,14.0
GRANDVIEW,41.39393939393939,74.994693543325,29.579926567147588,0.5201905096449644,15.0
ROSSER,38.625,80.62093870109686,29.31754101877246,0.5147945057935521,16.0
DESALABERRY,64.52727272727273,62.35784236874469,20.51476120158766,0.5091992384037521,17.0
YELLOWHEAD,26.202380952380956,88.1949106792131,31.38348087087169,0.4957587513690208,18.0
PRAIRIE LAKES,31.43820224719101,75.16748146490795,31.101155726102512,0.4925948219408227,19.0
THOMPSON,67.0,65.76290437472251,16.969229024091174,0.49079667329223886,20.0
MACDONALD,38.81609195402299,75.66697768590473,27.213853836557593,0.4864787265564349,21.0
ROCKWOOD,42.44897959183673,75.58632966327514,25.152761638795607,0.4812454238196055,22.0
RITCHOT,47.23076923076923,66.6682392235122,24.238678419890494,0.4761790311199032,23.0
BOISSEVAIN-MORTON,28.625,79.98207677219314,29.497804378776298,0.4754410002615612,24.0
MONTCALM,53.62857142857143,67.37923343419816,21.01195771040545,0.4733135040825893,25.0
MINTO-ODANAH,25.758064516129032,80.26031408167104,30.29234864368554,0.47287369470900614,26.0
WOODLANDS,42.02941176470589,74.96447702803462,23.865648145005643,0.4650518896748893,27.0
WHITEHEAD,37.66,69.37360882577188,26.01525460481822,0.4577616512000979,28.0
SOURIS-GLENWOOD,38.7,75.509462212236,24.168108489866995,0.45510634037838615,29.0
OAKLAND-WAWANESA,34.175,72.84523689272964,25.708973725521943,0.4473533928623335,30.0
BRENDA-WASKADA,27.714285714285715,65.70848156040176,28.645526942959716,0.4398315063643233,31.0
PRAIRIE VIEW,28.34057971014493,77.20447150419903,26.211572489919146,0.4394231850053793,32.0
ROSSBURN,39.921875,70.47214110092887,22.780257583905886,0.4359086277884064,33.0
RIDING MOUNTAIN WEST,38.68707482993197,77.18162161267021,21.231093369677396,0.42904444483820403,34.0
ARGYLE,27.387096774193548,71.54027523297522,26.5517878131332,0.42899770255890296,35.0
LOUISE,20.608695652173918,76.69519802922807,27.737368528840857,0.4289347012766636,36.0
STANLEY,31.189655172413797,66.43582904077446,25.79999960991094,0.42492521220163804,37.0
STE. ANNE,72.55882352941177,59.16720257234727,6.88326388863073,0.42262526750423834,38.0
HANOVER,65.62264150943396,58.48272395294052,11.223282240149947,0.4213675913646538,39.0
DUFFERIN,33.625,64.18551599274561,24.886036631226276,0.42008022359126507,40.0
WESTLAKE-GLADSTONE,21.99333333333333,72.55869547712217,27.044465707293337,0.41925896562953535,41.0
LORNE,31.623529411764707,70.32041413364654,24.23327666003136,0.41819949086358943,42.0
DELORAINE-WINCHESTER,29.403846153846157,69.2716564386769,25.13078350256458,0.41745370743612625,43.0
ROSEDALE,28.727272727272727,75.6240286025656,23.952883014449245,0.41620335297469535,44.0
CARTWRIGHT-ROBLIN,27.29090909090909,66.26566828145914,26.115863034876444,0.4146079802604452,45.0
TACHE,56.95,65.5591361974406,13.665507825999361,0.4134490902735985,46.0
ALEXANDER,46.40601503759399,71.85,17.465537495307732,0.41298571610440626,47.0
GLENELLA-LANSDOWNE,23.712871287128717,73.27651193771011,25.473659880922693,0.41082852167391376,48.0
GRASSLAND,32.45,70.97046137161693,23.018756268695974,0.41021983358280684,49.0
HAMIOTA,34.0,74.16182298327591,20.481859820382603,0.3972543256938379,50.0
FISHER,50.459016393442624,64.11154996653346,15.404648132930443,0.39504853533717227,51.0
CARTIER,32.659574468085104,74.86571324686217,20.252528267878425,0.39182977744960207,52.0
OAKVIEW,31.163265306122447,76.32327291715134,19.87005421890038,0.38636270008074936,53.0
CLANWILLIAM-ERICKSON,25.464285714285715,63.10279678554415,23.74569793471559,0.3791792471330235,54.0
PEMBINA,23.835443037974684,69.24005275804805,22.028204871651635,0.3701352856899903,55.0
GIMLI,39.54166666666666,60.4904468412943,18.115443804980714,0.36396996303168694,56.0
ELTON,33.125,63.76034951895945,19.57117321846949,0.36150521515664347,57.0
NORTH NORFOLK,21.617021276595743,68.6159236670571,21.612373567992496,0.359404858491854,58.0
GRAHAMDALE,43.850515463917525,30.191141097095922,20.540588446329938,0.3554962989210606,59.0
WHITEMOUTH,67.98333333333333,52.12603833865815,0.0,0.35530341872462395,60.0
GREY,32.63235294117647,65.00611439729131,17.829865633258812,0.344629645820611,61.0
MORRIS,43.01123595505618,48.96067052235385,17.090902803342544,0.3441464974889051,62.0
HARRISON PARK,29.79787234042553,67.3798075202901,18.11524118093154,0.3438919552122458,63.0
RIVERDALE,33.47727272727273,64.33939370389946,17.578465245673662,0.34343688868791844,64.0
ST. CLEMENTS,55.85714285714285,55.76442550202868,7.7932250054253425,0.34143519208829487,65.0
MINITONAS-BOWSMAN,28.385416666666668,67.83813196826095,17.533073698848607,0.33497274199274263,66.0
GILBERT PLAINS,40.08080808080808,64.45814536743411,14.030964205075621,0.33465008951067504,67.0
KELSEY,56.16216216216216,34.844721980886185,10.104162724754412,0.325354473549596,68.0
WALLACE-WOODWORTH,28.452380952380956,63.560293820692486,16.795994211096275,0.31718791590684414,69.0
MOSSEY RIVER,34.13186813186813,48.25512975058421,18.06029558947633,0.31498416545767666,70.0
ROLAND,33.1,58.185503532299556,16.15602835392121,0.31241745276994093,71.0
TWO BORDERS,26.167630057803468,55.745799735701425,18.333884648504668,0.30847969413891974,72.0
PIPESTONE,25.964285714285715,57.347685489728505,17.787285809836455,0.30570882932243854,73.0
SWAN VALLEY WEST,30.4014598540146,66.31158024803186,13.93074626926116,0.30221072044806735,74.0
SIFTON,34.68333333333333,51.9821318359375,15.617359586701756,0.29793034455072154,75.0
DAUPHIN,40.32231404958678,56.819338128174856,11.218453034293281,0.2902697312005653,76.0
WINNIPEG,44.71428571428572,58.04864743011723,7.564129736023781,0.2857000462486876,77.0
RUSSELL-BINSCARTH,41.30612244897959,57.358920756427906,9.344522521913223,0.28031654248093807,78.0
WEST ST. PAUL,41.833333333333336,62.55,1.2020815280171253,0.24953531928845793,79.0
LAKESHORE,40.9009009009009,50.23829451147018,7.734752162849457,0.24704807565728973,80.0
ALONSA,41.84897959183674,51.46971999669612,6.235199652470861,0.24450579998101118,81.0
CORNWALLIS,32.95454545454545,54.80041495023694,10.183928727868755,0.24322822972107178,82.0
VICTORIA,32.7,56.833623552343596,9.531969796559629,0.24242088429379144,83.0
HEADINGLEY,34.9,68.5494573643411,0.0,0.2355909733181215,84.0
COLDWELL,42.973333333333336,48.8,0.0,0.21511391454675782,85.0
MOUNTAIN,28.90748898678414,56.84555469500353,6.7741249310825005,0.20694192500981798,86.0
ELLICE-ARCHIE,28.927710843373493,44.91995651160346,9.365298763609065,0.19200580340973913,87.0
WEST INTERLAKE,42.92465753424658,22.0,0.0,0.1738858973729218,88.0
ETHELBERT,32.82954545454545,45.45581224138094,3.54468500283912,0.16262289946799496,89.0
