Matched_RM,Year,Weighted_Avg_Wheat_Yield,Precipitation,TOPSIS_Score,Rank
ALEXANDER,2023,84.2,46.40601503759399,0.7966352979859054,1.0
EMERSON-FRANKLIN,2023,70.6507300275482,64.0,0.7615434317750686,2.0
THOMPSON,2023,66.9634127349308,67.0,0.7211521130474706,3.0
SPRINGFIELD,2023,69.91986977111287,52.03260869565217,0.7141242621534052,4.0
ELTON,2023,77.59925881751577,33.125,0.7125301774127123,5.0
HANOVER,2023,66.41878293212109,65.62264150943396,0.7104192426990559,6.0
GIMLI,2023,73.3,39.54166666666666,0.7038526461603435,7.0
HAMIOTA,2023,75.41238365778261,34.0,0.7007373587414708,8.0
STE. ANNE,2023,64.03440514469455,72.55882352941177,0.6928701257909095,9.0
TACHE,2023,65.9,56.95,0.6804048629697064,10.0
MINTO-ODANAH,2023,75.91374653282261,25.758064516129032,0.6755639177624773,11.0
BROKENHEAD,2023,65.87814467086311,54.293103448275865,0.6725120287829591,12.0
ST. ANDREWS,2023,67.90634534125904,45.59016393442623,0.6701743248811404,13.0
ROSEDALE,2023,72.95413006068291,28.727272727272727,0.6634301607921719,14.0
CARTIER,2023,70.78472768342675,32.659574468085104,0.6575548901990854,15.0
RIDING MOUNTAIN WEST,2023,68.78626755444422,38.68707482993197,0.657533618649819,16.0
OAKLAND-WAWANESA,2023,69.98106748224153,34.175,0.654914491571253,17.0
OAKVIEW,2023,70.9364015915363,31.163265306122447,0.6540845859085072,18.0
YELLOWHEAD,2023,72.59861061772251,26.202380952380956,0.6523732098838574,19.0
HEADINGLEY,2023,68.5494573643411,34.9,0.6430714811657343,20.0
STE. ROSE,2023,65.08438469493278,45.79166666666666,0.6377849293076002,21.0
BOISSEVAIN-MORTON,2023,69.89651113467656,28.625,0.6365890781249784,22.0
BIFROST-RIVERTON,2023,61.42561004214679,60.32575757575758,0.630017953827308,23.0
PORTAGE LA PRAIRIE,2023,69.82402204150084,25.948275862068964,0.6277965474344501,24.0
ROSSBURN,2023,65.65744298607149,39.921875,0.6271584085854379,25.0
PINEY,2023,57.1,85.78021978021978,0.6192487952394428,26.0
DELORAINE-WINCHESTER,2023,67.81299778975531,29.403846153846157,0.6189655036710635,27.0
RIVERDALE,2023,66.5634339571097,33.47727272727273,0.6180951575742898,28.0
ST. CLEMENTS,2023,61.27506775067751,55.85714285714285,0.6168453199572539,29.0
WINNIPEG,2023,63.39729486023445,44.71428571428572,0.6141365629983297,30.0
RUSSELL-BINSCARTH,2023,63.96649599862317,41.30612244897959,0.6114180377569867,31.0
NORTH CYPRESS-LANGFORD,2023,67.52571610658491,27.161073825503355,0.6096089922265542,32.0
GRANDVIEW,2023,63.60985139990221,41.39393939393939,0.6073949895839683,33.0
SWAN VALLEY WEST,2023,66.25996741573034,30.4014598540146,0.6059880898030299,34.0
PRAIRIE VIEW,2023,66.41246023999541,28.34057971014493,0.6017417915936295,35.0
SOURIS-GLENWOOD,2023,63.74412281888272,38.7,0.6014392065577787,36.0
HARRISON PARK,2023,65.93525328126695,29.79787234042553,0.6008708515594601,37.0
MONTCALM,2023,60.39653088042051,53.62857142857143,0.5994731970607841,38.0
GILBERT PLAINS,2023,63.14388320023516,40.08080808080808,0.5981359804352797,39.0
ROSSER,2023,63.279534276387366,38.625,0.5957354485194944,40.0
LOUISE,2023,67.86544561968915,20.608695652173918,0.5946575225690225,41.0
FISHER,2023,60.47018314523214,50.459016393442624,0.5923011399026739,42.0
RITCHOT,2023,61.120051762386,47.23076923076923,0.5922951915150972,43.0
WHITEHEAD,2023,62.99035647007679,37.66,0.5896557009650897,44.0
WEST ST. PAUL,2023,61.7,41.833333333333336,0.5852522061146432,45.0
MINITONAS-BOWSMAN,2023,64.50084051112164,28.385416666666668,0.5817126272054755,46.0
LORNE,2023,63.311496660992525,31.623529411764707,0.5771440250728329,47.0
CLANWILLIAM-ERICKSON,2023,64.7173775671406,25.464285714285715,0.5763300739388622,48.0
GRASSLAND,2023,62.2790433068561,32.45,0.5674462145149496,49.0
WOODLANDS,2023,60.24005538657102,42.02941176470589,0.5674444652822389,50.0
PRAIRIE LAKES,2023,62.39916614810205,31.43820224719101,0.566227723589431,51.0
CORNWALLIS,2023,62.00154001283343,32.95454545454545,0.5655064074385552,52.0
RHINELAND,2023,60.30193794345018,38.36923076923077,0.558831825185432,53.0
MOUNTAIN,2023,61.63558437037682,28.90748898678414,0.5510621428989626,54.0
VICTORIA,2023,60.3599240109028,32.7,0.5453489165273867,55.0
NORFOLK-TREHERNE,2023,60.01442741208296,34.36538461538461,0.5452509141583709,56.0
PEMBINA,2023,61.57201952723536,23.835443037974684,0.538220670718304,57.0
WALLACE-WOODWORTH,2023,60.30410809747599,28.452380952380956,0.534476755721391,58.0
ROCKWOOD,2023,57.55115146013013,42.44897959183673,0.5338749027998186,59.0
DAUPHIN,2023,57.09002154815183,40.32231404958678,0.5227281046291673,60.0
ARGYLE,2023,58.74036424365804,27.387096774193548,0.513486573488813,61.0
GLENBORO-SOUTH CYPRESS,2023,57.40787852112676,34.48148148148148,0.5130840859988077,62.0
STANLEY,2023,57.9909267085386,31.189655172413797,0.5128675218946643,63.0
MCCREARY,2023,56.32043758306922,39.80434782608695,0.5114618243095029,64.0
WESTLAKE-GLADSTONE,2023,59.40711219804353,21.99333333333333,0.5096692359856919,65.0
ALONSA,2023,55.7,41.84897959183674,0.5081028402076442,66.0
GREY,2023,57.26062567421791,32.63235294117647,0.507015334489884,67.0
GLENELLA-LANSDOWNE,2023,58.70545942811803,23.712871287128717,0.5051463085533896,68.0
DESALABERRY,2023,50.43050847457628,64.52727272727273,0.4909482529981421,69.0
ELLICE-ARCHIE,2023,55.57677242986466,28.927710843373493,0.47784016237199917,70.0
CARTWRIGHT-ROBLIN,2023,55.4234708329645,27.29090909090909,0.47260725340459514,71.0
MACDONALD,2023,53.52124224154532,38.81609195402299,0.47224187316024685,72.0
BRENDA-WASKADA,2023,55.21095293193934,27.714285714285715,0.47078069793430455,73.0
LAKESHORE,2023,52.486836123165936,40.9009009009009,0.4630241292763613,74.0
NORTH NORFOLK,2023,55.42168907977189,21.617021276595743,0.46183542248158066,75.0
DUFFERIN,2023,51.8243819785376,33.625,0.43863803253584865,76.0
PIPESTONE,2023,51.01629156490701,25.964285714285715,0.41376439778101637,77.0
ROLAND,2023,49.08776145361344,33.1,0.400880151121106,78.0
GRAHAMDALE,2023,47.27342329128777,43.850515463917525,0.3987498622390058,79.0
ETHELBERT,2023,47.962283044058736,32.82954545454545,0.38509587550994334,80.0
ARMSTRONG,2023,46.3,39.19230769230769,0.37507886095900267,81.0
TWO BORDERS,2023,47.03515087347803,26.167630057803468,0.361243853556077,82.0
KELSEY,2023,41.98944396177237,56.16216216216216,0.36016460078640045,83.0
MORRIS,2023,40.87664889872272,43.01123595505618,0.30991992785303996,84.0
SIFTON,2023,40.666,34.68333333333333,0.28800157746165744,85.0
MOSSEY RIVER,2023,30.721936951576208,34.13186813186813,0.15226899579432512,86.0
WEST INTERLAKE,2023,22.0,42.92465753424658,0.12376697502681977,87.0
